p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	threshold
SUPT16H	1.19732100462672e-41	-1.02450433265668	0.185	0.348	2.15685405773457e-37	Myeloid cell	SUPT16H	Down
TMA7	2.04375808595874e-41	-0.46101511444172	0.672	0.83	3.68162581604608e-37	Myeloid cell	TMA7	Down
HLA-DRB5	2.5193521938764e-41	2.02114637933752	0.284	0.118	4.53836104204894e-37	Myeloid cell	HLA-DRB5	Up
TOMM5	7.78365413201302e-41	-1.08302645302332	0.142	0.293	1.40214745534083e-36	Myeloid cell	TOMM5	Down
SHCBP1	1.12362772343177e-40	-1.92224634771615	0.033	0.12	2.02410298098998e-36	Myeloid cell	SHCBP1	Down
MCM3	1.12418757144323e-40	-1.52709257455142	0.064	0.177	2.02511149119783e-36	Myeloid cell	MCM3	Down
H2AFV	1.71901742511145e-40	-0.91050854827617	0.224	0.395	3.09663798959576e-36	Myeloid cell	H2AFV	Down
SNRPF	1.98156802551793e-40	-1.06846743223175	0.139	0.289	3.56959664116801e-36	Myeloid cell	SNRPF	Down
RPSA	3.02943163869237e-40	-0.420142332078499	0.717	0.867	5.45721815394043e-36	Myeloid cell	RPSA	Down
KNL1	3.09967609249226e-40	-1.89527430823834	0.039	0.131	5.58375651301556e-36	Myeloid cell	KNL1	Down
RPL5	3.76148677618365e-40	-0.32364452612126	0.964	0.987	6.77594227861723e-36	Myeloid cell	RPL5	Down
HMGB3	4.04899723115073e-40	-1.80208042208535	0.041	0.136	7.29386361219492e-36	Myeloid cell	HMGB3	Down
DEPDC1B	4.10430646227769e-40	-3.17805854445445	0.006	0.057	7.39349766114703e-36	Myeloid cell	DEPDC1B	Down
COX16	4.734051558645e-40	-1.07160433018945	0.143	0.293	8.5279204777431e-36	Myeloid cell	COX16	Down
PSAP	9.62854092973799e-40	0.643091038879477	0.822	0.753	1.734485363083e-35	Myeloid cell	PSAP	Up
MAGOHB	1.18392406362392e-39	-1.53124510597878	0.049	0.149	2.13272080821212e-35	Myeloid cell	MAGOHB	Down
RRM1	1.38957526559742e-39	-1.54229990169686	0.052	0.154	2.5031808834472e-35	Myeloid cell	RRM1	Down
PRKD3	1.49359454765805e-39	-1.79255371777976	0.042	0.136	2.69056121815121e-35	Myeloid cell	PRKD3	Down
PPIA	1.59488606349898e-39	-0.486483560288687	0.576	0.762	2.87302775478706e-35	Myeloid cell	PPIA	Down
SET	2.97333340552933e-39	-0.680466190741314	0.453	0.627	5.35616279672054e-35	Myeloid cell	SET	Down
LRRK2	3.5733279981101e-39	-1.483803259177	0.081	0.201	6.43699305579554e-35	Myeloid cell	LRRK2	Down
IGF1R	5.80004731044239e-39	-2.74448509373818	0.01	0.066	1.04482052250309e-34	Myeloid cell	IGF1R	Down
BRCA1	6.24255722115756e-39	-1.68349004728467	0.052	0.154	1.12453425781932e-34	Myeloid cell	BRCA1	Down
PET100	1.00528940872258e-38	-0.856797591794418	0.224	0.395	1.81092834087286e-34	Myeloid cell	PET100	Down
TPX2	1.16093377221849e-38	-1.79658861857186	0.048	0.146	2.09130609727438e-34	Myeloid cell	TPX2	Down
COX6C	1.17341818036052e-38	-0.578475854230473	0.501	0.683	2.11379551010144e-34	Myeloid cell	COX6C	Down
ENPP4	1.22368840892045e-38	-2.2333785506282	0.019	0.089	2.20435229982929e-34	Myeloid cell	ENPP4	Down
RBBP8	1.45727577878333e-38	-1.45256639398849	0.065	0.175	2.62513658790028e-34	Myeloid cell	RBBP8	Down
HSP90B2P	1.95039272542968e-38	-1.075541858076	0.121	0.26	3.51343745558902e-34	Myeloid cell	HSP90B2P	Down
PCAT18	2.18415112335669e-38	5.11521237397841	0.116	0.003	3.93452983361474e-34	Myeloid cell	PCAT18	Up
DNAJC8	2.32926158511317e-38	-0.811479120087599	0.295	0.469	4.19593181942287e-34	Myeloid cell	DNAJC8	Down
RPS24	2.48337672237418e-38	-0.284687374743417	0.974	0.99	4.47355482768484e-34	Myeloid cell	RPS24	Down
NCAPG2	3.11542993117316e-38	-1.76452987749814	0.037	0.126	5.61213547801533e-34	Myeloid cell	NCAPG2	Down
MT-COX2	3.40037703808853e-38	-0.304918958091773	0.916	0.97	6.12543919641268e-34	Myeloid cell	MT-COX2	Down
IQGAP2	3.50528510427605e-38	-0.792938794376216	0.236	0.408	6.31442058684287e-34	Myeloid cell	IQGAP2	Down
GTSF1	4.82090868640094e-38	4.69329669699477	0.119	0.005	8.68438490768265e-34	Myeloid cell	GTSF1	Up
MS4A7	5.57900974342399e-38	1.36211936850444	0.336	0.167	1.0050028151804e-33	Myeloid cell	MS4A7	Up
LIN7A	5.77736324801015e-38	-2.07333813811773	0.025	0.101	1.04073421549655e-33	Myeloid cell	LIN7A	Down
CDCA7	9.33853696453031e-38	-2.31767745720639	0.018	0.086	1.68224404879049e-33	Myeloid cell	CDCA7	Down
CCDC88A	1.07513115648234e-37	-0.73255710856665	0.394	0.568	1.93674126528729e-33	Myeloid cell	CCDC88A	Down
SLIRP	1.27443582292505e-37	-0.879448151299164	0.202	0.365	2.29576869141718e-33	Myeloid cell	SLIRP	Down
CENPK	1.56910764999114e-37	-1.55316015775847	0.046	0.141	2.82659052069405e-33	Myeloid cell	CENPK	Down
FMN1	1.98614193966112e-37	-2.12359040509009	0.015	0.079	3.57783609010554e-33	Myeloid cell	FMN1	Down
PSMA4	4.97691065305236e-37	-0.665990035940118	0.376	0.555	8.96540685040853e-33	Myeloid cell	PSMA4	Down
XIST	6.15231603155733e-37	4.61621665213073	0.119	0.006	1.10827820992474e-32	Myeloid cell	XIST	Up
KIF4A	6.97030125962801e-37	-2.21433279493766	0.018	0.084	1.25563006890939e-32	Myeloid cell	KIF4A	Down
LOC107984974	7.30476901347685e-37	-0.612575051673521	0.418	0.609	1.31588109008772e-32	Myeloid cell	LOC107984974	Down
CXCR4	9.46081517681486e-37	-0.515713512420932	0.351	0.548	1.70427124595143e-32	Myeloid cell	CXCR4	Down
RN7SK	1.69495084102366e-36	1.64058007798259	0.306	0.147	3.05328444502002e-32	Myeloid cell	RN7SK	Up
VBP1	1.75096290800906e-36	-0.962616456534238	0.161	0.31	3.15418458248752e-32	Myeloid cell	VBP1	Down
CHEK1	1.80004173087123e-36	-1.76597199875376	0.034	0.116	3.24259517399143e-32	Myeloid cell	CHEK1	Down
EIF1	2.04138423527211e-36	0.632535380730891	0.754	0.675	3.67734956141918e-32	Myeloid cell	EIF1	Up
TOB1	2.12691562658565e-36	-1.03104437482704	0.192	0.343	3.8314258097314e-32	Myeloid cell	TOB1	Down
ANKRD18A	2.97864900877674e-36	-3.35974151677294	0.003	0.043	5.36573832441041e-32	Myeloid cell	ANKRD18A	Down
EVI2A	3.55573184584965e-36	1.18327517505178	0.356	0.187	6.40529534711357e-32	Myeloid cell	EVI2A	Up
FAM46A	4.19422292298477e-36	1.81474651582172	0.24	0.09	7.55547317346477e-32	Myeloid cell	FAM46A	Up
RAN	6.05099515730985e-36	-0.767936535589725	0.287	0.459	1.0900262676378e-31	Myeloid cell	RAN	Down
ERH	9.1177745254034e-36	-0.897115266536012	0.209	0.365	1.64247590300617e-31	Myeloid cell	ERH	Down
LINC00987	9.36185891068359e-36	-1.14801140781266	0.138	0.274	1.68644526417054e-31	Myeloid cell	LINC00987	Down
WDR43	9.71071826198071e-36	-0.956097676321386	0.148	0.291	1.74928878771321e-31	Myeloid cell	WDR43	Down
CRYBG1	9.88800725732431e-36	-1.09363370266711	0.139	0.276	1.7812256273344e-31	Myeloid cell	CRYBG1	Down
HMGN2P46	1.68461432382587e-35	-2.34473563812071	0.014	0.073	3.03466424293992e-31	Myeloid cell	HMGN2P46	Down
GALNT1	2.08564090810337e-35	-0.92661660587833	0.164	0.311	3.7570735318574e-31	Myeloid cell	GALNT1	Down
HDGF	2.08852905242986e-35	-0.78463416746587	0.232	0.397	3.76227623504715e-31	Myeloid cell	HDGF	Down
RPS25	3.73856882814293e-35	-0.300488180884014	0.981	0.989	6.73465788701668e-31	Myeloid cell	RPS25	Down
LST1	4.03428641247523e-35	0.804058750685226	0.539	0.375	7.26736354343288e-31	Myeloid cell	LST1	Up
MAP3K13	1.07956299913944e-34	-1.51900042622079	0.05	0.144	1.94472478664979e-30	Myeloid cell	MAP3K13	Down
SUB1	1.68472826747575e-34	-0.589819654159563	0.469	0.641	3.03486950103081e-30	Myeloid cell	SUB1	Down
DBI	2.74261118162477e-34	-0.528675996349433	0.507	0.677	4.94053978257887e-30	Myeloid cell	DBI	Down
DMXL2	3.05658966083694e-34	1.40517035526709	0.297	0.141	5.50614061503166e-30	Myeloid cell	DMXL2	Up
SPCS2	3.82863373940133e-34	-1.03924608837956	0.148	0.286	6.89690081815756e-30	Myeloid cell	SPCS2	Down
SERBP1	4.17636757607766e-34	-0.562848609527956	0.472	0.644	7.5233085515463e-30	Myeloid cell	SERBP1	Down
SNHG6	5.38416480453812e-34	-0.606804179663542	0.404	0.576	9.69903447889497e-30	Myeloid cell	SNHG6	Down
DDX17	6.15901025192871e-34	0.874492517208028	0.492	0.328	1.10948410678244e-29	Myeloid cell	DDX17	Up
TAPT1-AS1	7.36086830881362e-34	-0.613903716086815	0.329	0.51	1.32598681714969e-29	Myeloid cell	TAPT1-AS1	Down
HNRNPA3P1	8.52801766227811e-34	-1.28708913737297	0.074	0.181	1.53623710168278e-29	Myeloid cell	HNRNPA3P1	Down
SSR1	1.03431509592437e-33	-0.775140941472642	0.271	0.434	1.86321521379815e-29	Myeloid cell	SSR1	Down
MRC1	1.46376615901918e-33	3.72567987084557	0.128	0.017	2.63682835885716e-29	Myeloid cell	MRC1	Up
TIMM8B	1.47030297409029e-33	-1.03007777310597	0.155	0.294	2.64860377752625e-29	Myeloid cell	TIMM8B	Down
PSMC3	1.63126821766445e-33	-0.997783880855685	0.128	0.258	2.93856656730073e-29	Myeloid cell	PSMC3	Down
NDUFB3	1.67013646636872e-33	-0.900923158523573	0.161	0.304	3.00858383051662e-29	Myeloid cell	NDUFB3	Down
CENPW	2.52322336068427e-33	-1.46519765865582	0.058	0.154	4.54533456193664e-29	Myeloid cell	CENPW	Down
PFDN5	2.63454018998699e-33	0.463993148473524	0.83	0.768	4.74586069824257e-29	Myeloid cell	PFDN5	Up
SYNCRIP	2.83183154866103e-33	-0.774073081423005	0.27	0.43	5.10126135175798e-29	Myeloid cell	SYNCRIP	Down
LOC102724428	2.8483018149569e-33	-3.53363542041819	0.004	0.042	5.13093088946336e-29	Myeloid cell	LOC102724428	Down
SNRPG	3.78866255279735e-33	-0.756631669341521	0.263	0.425	6.82489672260915e-29	Myeloid cell	SNRPG	Down
NSD2	4.81651491895185e-33	-1.22813986491546	0.088	0.2	8.67646997499986e-29	Myeloid cell	NSD2	Down
HOXA10	5.32962565054227e-33	3.19027167194045	0.12	0.013	9.60078764688685e-29	Myeloid cell	HOXA10	Up
MAD2L1	5.92111457283754e-33	-1.65478945598962	0.039	0.121	1.06662957915095e-28	Myeloid cell	MAD2L1	Down
ITGAX	6.14667161769012e-33	1.51622650521662	0.249	0.102	1.1072614252107e-28	Myeloid cell	ITGAX	Up
CCT6A	9.52460530276127e-33	-0.803000899599065	0.236	0.395	1.71576239923941e-28	Myeloid cell	CCT6A	Down
FCN1	1.21017924883845e-32	-1.04476039868727	0.372	0.501	2.18001689885758e-28	Myeloid cell	FCN1	Down
YWHAE	1.25737263348587e-32	-0.527964308132964	0.471	0.645	2.26503106196144e-28	Myeloid cell	YWHAE	Down
CIT	1.54117027686882e-32	-2.05984229563351	0.019	0.081	2.77626413675149e-28	Myeloid cell	CIT	Down
SPDL1	1.79213196789044e-32	-1.94005978939233	0.026	0.096	3.22834652695783e-28	Myeloid cell	SPDL1	Down
BUB1	1.97644977635329e-32	-2.19576578166181	0.023	0.089	3.56037662712281e-28	Myeloid cell	BUB1	Down
XRCC5	2.24786108273761e-32	-0.642622569313681	0.341	0.512	4.04929695444353e-28	Myeloid cell	XRCC5	Down
CCNE2	2.51995396824642e-32	-1.84175771578053	0.026	0.096	4.53944507839911e-28	Myeloid cell	CCNE2	Down
S100A12	3.0588844208565e-32	-1.38609284371989	0.182	0.313	5.51027439573091e-28	Myeloid cell	S100A12	Down
CENPH	3.40188687400489e-32	-1.74213903569693	0.029	0.1	6.12815901483242e-28	Myeloid cell	CENPH	Down
MCUB	6.53563150902684e-32	-1.17635453282887	0.101	0.217	1.1773286600361e-27	Myeloid cell	MCUB	Down
ITGB3BP	6.82268950788041e-32	-1.57300462579383	0.043	0.126	1.22903928794958e-27	Myeloid cell	ITGB3BP	Down
OAT	7.37649417650256e-32	-1.25222731137766	0.073	0.175	1.32880166095517e-27	Myeloid cell	OAT	Down
CUL1	8.38645759634342e-32	-1.40032252643708	0.069	0.168	1.5107364714053e-27	Myeloid cell	CUL1	Down
ZFR	1.31647167181198e-31	1.33630783908239	0.375	0.234	2.37149206960209e-27	Myeloid cell	ZFR	Up
ATP5L2	1.32943783215189e-31	-0.93845375711031	0.148	0.281	2.39484931083842e-27	Myeloid cell	ATP5L2	Down
DEFB1	1.38767363072266e-31	4.80012982000545	0.103	0.006	2.4997552783838e-27	Myeloid cell	DEFB1	Up
IER2	1.47976732930451e-31	1.29411389531619	0.299	0.148	2.66565286700914e-27	Myeloid cell	IER2	Up
OLR1	1.72257029565814e-31	-3.86013624509538	0.003	0.039	3.10303813059858e-27	Myeloid cell	OLR1	Down
DNMT1	1.76644494860267e-31	-0.893316033220775	0.181	0.321	3.18207393041284e-27	Myeloid cell	DNMT1	Down
MATR3	1.78641758303318e-31	-0.508602967660603	0.503	0.671	3.21805263407596e-27	Myeloid cell	MATR3	Down
FEN1	2.0207447500123e-31	-2.02500564558495	0.023	0.089	3.64016959267216e-27	Myeloid cell	FEN1	Down
PRIM1	2.02578574437692e-31	-1.3039125023522	0.077	0.181	3.64925043992059e-27	Myeloid cell	PRIM1	Down
RPL13AP20	4.56826200304352e-31	-0.657333144643099	0.273	0.44	8.2292671722826e-27	Myeloid cell	RPL13AP20	Down
CENPS	4.70711216376811e-31	-1.78132186191855	0.026	0.095	8.47939185181187e-27	Myeloid cell	CENPS	Down
MLEC	6.00022305474788e-31	-0.935693524342329	0.146	0.277	1.08088018108228e-26	Myeloid cell	MLEC	Down
TCEAL9	7.41461385693917e-31	-2.64381833816862	0.009	0.054	1.33566854018902e-26	Myeloid cell	TCEAL9	Down
RETREG1	9.01527094724597e-31	-3.10067601314209	0.005	0.043	1.62401090843689e-26	Myeloid cell	RETREG1	Down
MT-ATP8	9.88890552747588e-31	-0.488466507678528	0.468	0.649	1.78138744171951e-26	Myeloid cell	MT-ATP8	Down
EID1	1.30796212862031e-30	-0.584393545364141	0.34	0.509	2.35616297849662e-26	Myeloid cell	EID1	Down
CST3	1.48961909456668e-30	0.724293624596958	0.645	0.508	2.68339983695241e-26	Myeloid cell	CST3	Up
THBD	1.72865465941346e-30	-2.87376811068315	0.007	0.05	3.1139985034674e-26	Myeloid cell	THBD	Down
CANX	2.73282029840331e-30	-0.481333005742616	0.562	0.724	4.92290248554373e-26	Myeloid cell	CANX	Down
EIF5B	3.04728862521954e-30	-0.893695317438487	0.206	0.347	5.48938572947049e-26	Myeloid cell	EIF5B	Down
POLQ	4.12473404770476e-30	-1.9328507745735	0.027	0.094	7.43029591353536e-26	Myeloid cell	POLQ	Down
SERPINB8	4.33650502982484e-30	-1.03786961363385	0.109	0.225	7.81178016072647e-26	Myeloid cell	SERPINB8	Down
RPL23P8	5.55607072202307e-30	-0.922677711164094	0.176	0.311	1.00087057986524e-25	Myeloid cell	RPL23P8	Down
ADK	9.22114169202796e-30	-0.978032193560157	0.137	0.262	1.66109646440192e-25	Myeloid cell	ADK	Down
SELENOK	9.96764044879101e-30	-0.810874814553695	0.2	0.343	1.79557075044521e-25	Myeloid cell	SELENOK	Down
SERPINA1	1.08065982801919e-29	1.54861406268326	0.22	0.087	1.94670061419376e-25	Myeloid cell	SERPINA1	Up
PTTG3P	1.16905630429914e-29	-2.91485820670479	0.006	0.047	2.10593802656448e-25	Myeloid cell	PTTG3P	Down
RCC2	1.28397206853664e-29	-0.808041470183529	0.183	0.32	2.3129472842619e-25	Myeloid cell	RCC2	Down
NDUFA1	1.48512808815851e-29	-0.575099828852851	0.414	0.578	2.67530973800875e-25	Myeloid cell	NDUFA1	Down
CALCRL	1.97449630966601e-29	-2.03764654951932	0.018	0.074	3.55685765223235e-25	Myeloid cell	CALCRL	Down
LUC7L3	2.01367942986061e-29	1.01434255062881	0.382	0.227	3.62744212495091e-25	Myeloid cell	LUC7L3	Up
TMX1	2.37203513913526e-29	-0.882257960822938	0.207	0.345	4.27298409963826e-25	Myeloid cell	TMX1	Down
DUSP1	3.54028287400076e-29	1.15332669944935	0.415	0.274	6.37746556922497e-25	Myeloid cell	DUSP1	Up
EVI2B	3.54042886817288e-29	0.695015772118558	0.542	0.395	6.37772856312663e-25	Myeloid cell	EVI2B	Up
MT-ATP6	3.82364312326446e-29	-0.302095679474949	0.769	0.89	6.8879107222486e-25	Myeloid cell	MT-ATP6	Down
TXN	4.09755606954018e-29	-0.588149579497098	0.442	0.6	7.38133750366967e-25	Myeloid cell	TXN	Down
FUT4	4.16721596433392e-29	1.96403500250679	0.174	0.056	7.50682283815112e-25	Myeloid cell	FUT4	Up
RGS1	5.09081924192545e-29	-2.06793839760668	0.02	0.078	9.1706017824045e-25	Myeloid cell	RGS1	Down
PRKDC	8.98238495060921e-29	-0.85893165690331	0.178	0.312	1.61808682500274e-24	Myeloid cell	PRKDC	Down
RGS2	1.4369411206578e-28	-0.906278855929883	0.225	0.37	2.58850573475296e-24	Myeloid cell	RGS2	Down
MT-ND4	1.54980736398947e-28	-0.276740895139576	0.927	0.98	2.79182298549064e-24	Myeloid cell	MT-ND4	Down
MSRB3	1.56233140172558e-28	2.07591271858123	0.162	0.048	2.81438378706846e-24	Myeloid cell	MSRB3	Up
CACYBP	1.7740190730086e-28	-0.776065528568717	0.25	0.394	3.19571795811769e-24	Myeloid cell	CACYBP	Down
CHSY1	2.57701429023847e-28	-1.23071086598817	0.073	0.169	4.64223354243559e-24	Myeloid cell	CHSY1	Down
TREM1	2.74841681314553e-28	-1.08330667669941	0.089	0.193	4.95099804720036e-24	Myeloid cell	TREM1	Down
PRC1	3.17143802348353e-28	-1.2835285240669	0.067	0.159	5.71302845550324e-24	Myeloid cell	PRC1	Down
PLSCR1	3.8701766111058e-28	-0.896805019300654	0.146	0.272	6.97173614724598e-24	Myeloid cell	PLSCR1	Down
UHRF1	3.87508691776028e-28	-1.70827808058118	0.035	0.107	6.98058157365337e-24	Myeloid cell	UHRF1	Down
SQSTM1	5.52629131979971e-28	1.25903109221804	0.259	0.123	9.9550611834872e-24	Myeloid cell	SQSTM1	Up
SCN9A	6.60087115469816e-28	-4.89025623347172	0.001	0.026	1.18908092980733e-23	Myeloid cell	SCN9A	Down
HNRNPAB	6.65007233862069e-28	-1.02056162087592	0.129	0.245	1.19794403107913e-23	Myeloid cell	HNRNPAB	Down
NDUFA4	7.01775358444256e-28	-0.461817202291376	0.566	0.714	1.26417813070148e-23	Myeloid cell	NDUFA4	Down
HOXB3	7.93624127126608e-28	5.56164171248017	0.084	0.001	1.42963450260587e-23	Myeloid cell	HOXB3	Up
SNRNP25	8.61418932362077e-28	-1.45168321973208	0.048	0.128	1.55176006475704e-23	Myeloid cell	SNRNP25	Down
RPS9	1.03931473026268e-27	0.424426715858849	0.923	0.903	1.87222155509519e-23	Myeloid cell	RPS9	Up
CTSB	1.55499110215517e-27	0.829216025573787	0.479	0.338	2.80116097142232e-23	Myeloid cell	CTSB	Up
PPIB	2.00884971760999e-27	-0.804123593609177	0.204	0.34	3.61874188130264e-23	Myeloid cell	PPIB	Down
DDX18	2.21841654781444e-27	-0.823980277739538	0.163	0.29	3.99625556923292e-23	Myeloid cell	DDX18	Down
CD48	2.42500576698835e-27	-0.670998062859401	0.166	0.299	4.36840538865282e-23	Myeloid cell	CD48	Down
SARNP	3.12399148208882e-27	-0.736951567297169	0.22	0.359	5.6275582558348e-23	Myeloid cell	SARNP	Down
LDHB	4.57018956956995e-27	-0.630396924189294	0.302	0.454	8.23273949062331e-23	Myeloid cell	LDHB	Down
OPN3	4.58135394426331e-27	-1.4632460925268	0.042	0.117	8.25285099519593e-23	Myeloid cell	OPN3	Down
RNU4ATAC	5.58386929863286e-27	2.15054462116273	0.148	0.041	1.00587821545572e-22	Myeloid cell	RNU4ATAC	Up
HOXB4	6.81226156921692e-27	4.5464553086655	0.085	0.004	1.22716079907874e-22	Myeloid cell	HOXB4	Up
SSRP1	7.28501342706554e-27	-1.03089400794578	0.12	0.232	1.31232231875159e-22	Myeloid cell	SSRP1	Down
MYADM	1.72203418192532e-26	-0.592947028080539	0.389	0.54	3.10207237532027e-22	Myeloid cell	MYADM	Down
HNRNPC	2.06298677046483e-26	-0.405626061490122	0.561	0.729	3.71626436831534e-22	Myeloid cell	HNRNPC	Down
RIPOR2	2.57714701084943e-26	0.996611288262296	0.335	0.193	4.64247262534416e-22	Myeloid cell	RIPOR2	Up
NCAPH	2.75429306007567e-26	-1.92487861935737	0.02	0.076	4.96158351842031e-22	Myeloid cell	NCAPH	Down
ECRP	3.58042484608934e-26	-1.30127637221707	0.067	0.155	6.44977731774534e-22	Myeloid cell	ECRP	Down
MRPS18C	4.02041035673783e-26	-1.02228087764108	0.099	0.202	7.24236721662752e-22	Myeloid cell	MRPS18C	Down
NAA38	5.50158518255843e-26	-0.697013438693984	0.214	0.351	9.91055554786076e-22	Myeloid cell	NAA38	Down
MIF-AS1	6.00232322107185e-26	-0.843052580526439	0.153	0.274	1.08125850504388e-21	Myeloid cell	MIF-AS1	Down
ALYREF	6.31166356842744e-26	-1.62709000845551	0.032	0.097	1.13698307521652e-21	Myeloid cell	ALYREF	Down
SLC15A4	6.72293797765068e-26	-1.72071024031764	0.025	0.085	1.21107004729399e-21	Myeloid cell	SLC15A4	Down
MCM7	6.79716034002243e-26	-1.23409257936878	0.059	0.143	1.22444046365164e-21	Myeloid cell	MCM7	Down
DEPDC1	1.09181435321967e-25	-2.43082461483442	0.011	0.056	1.96679437588991e-21	Myeloid cell	DEPDC1	Down
S100A9	1.22670823201708e-25	-0.544769555004818	0.78	0.896	2.20979220915556e-21	Myeloid cell	S100A9	Down
GNAI3	1.43456315542864e-25	-0.854323692861459	0.145	0.263	2.58422206818915e-21	Myeloid cell	GNAI3	Down
DNTTIP2	1.48943142160347e-25	-0.653473674976291	0.266	0.411	2.68306176287649e-21	Myeloid cell	DNTTIP2	Down
TYMS	1.6401898742482e-25	-1.64480479635467	0.027	0.088	2.95463803947072e-21	Myeloid cell	TYMS	Down
NDUFB2	1.74205392627761e-25	-0.586729145961797	0.358	0.5	3.13813594279649e-21	Myeloid cell	NDUFB2	Down
EMB	1.75327868720681e-25	0.804574119935714	0.649	0.605	3.15835622713436e-21	Myeloid cell	EMB	Up
RNU5F-1	2.01917422507599e-25	2.40407276718011	0.122	0.027	3.63734044905189e-21	Myeloid cell	RNU5F-1	Up
RFC3	2.31267165985189e-25	-1.63963862967033	0.039	0.108	4.16604672805719e-21	Myeloid cell	RFC3	Down
ANXA2	2.44049072773885e-25	-0.440111616714218	0.537	0.685	4.39629999694876e-21	Myeloid cell	ANXA2	Down
NRIP1	2.53638119811209e-25	-0.982191146283972	0.095	0.195	4.56903709027913e-21	Myeloid cell	NRIP1	Down
F5	2.62554330633107e-25	-1.91957180029627	0.021	0.076	4.72965371202479e-21	Myeloid cell	F5	Down
APOC2	4.05599122390569e-25	5.44637429583729	0.076	0.001	7.3064625907437e-21	Myeloid cell	APOC2	Up
IL1RAP	4.55621312316621e-25	-0.995685909499066	0.105	0.208	8.20756232007162e-21	Myeloid cell	IL1RAP	Down
METAP2	5.33959903140192e-25	-0.737145929656981	0.164	0.287	9.61875369516741e-21	Myeloid cell	METAP2	Down
KIF14	5.97145739740616e-25	-1.82675329116556	0.034	0.098	1.07569833556875e-20	Myeloid cell	KIF14	Down
GTSE1	6.5016313816084e-25	-2.37383463624959	0.011	0.053	1.17120387708294e-20	Myeloid cell	GTSE1	Down
COX7C	6.74296326764813e-25	-0.390727969614362	0.629	0.755	1.21467740303413e-20	Myeloid cell	COX7C	Down
CD55	6.87313497638359e-25	-0.79713661057154	0.286	0.418	1.23812653464574e-20	Myeloid cell	CD55	Down
CCPG1	7.22400892065089e-25	1.08905209413479	0.269	0.139	1.30133296696605e-20	Myeloid cell	CCPG1	Up
SAT1	8.56778750997221e-25	0.894888253473419	0.715	0.687	1.54340124204639e-20	Myeloid cell	SAT1	Up
SLA	8.7179067431257e-25	-0.794134917447726	0.161	0.281	1.57044372070666e-20	Myeloid cell	SLA	Down
CAVIN2	9.23546878684153e-25	-2.96848140077722	0.004	0.035	1.66367734726163e-20	Myeloid cell	CAVIN2	Down
USP48	1.19548523583557e-24	-0.680383662539544	0.212	0.346	2.1535471038342e-20	Myeloid cell	USP48	Down
WLS	1.59757306859039e-24	-2.82314203761318	0.004	0.036	2.87786812575872e-20	Myeloid cell	WLS	Down
HOXB-AS3	1.74218187008319e-24	6.86990925778382	0.071	0	3.13836642076785e-20	Myeloid cell	HOXB-AS3	Up
SRRM1	1.87068888009912e-24	-0.582484285385418	0.338	0.481	3.36985894861056e-20	Myeloid cell	SRRM1	Down
ATP5J2	1.98431729672762e-24	-0.631798052535962	0.267	0.405	3.57454917832514e-20	Myeloid cell	ATP5J2	Down
METTL7A	1.99793741769804e-24	1.29635047613898	0.237	0.115	3.59908446424125e-20	Myeloid cell	METTL7A	Up
GGCT	2.01154401218166e-24	-0.93951134827377	0.117	0.223	3.62359538354405e-20	Myeloid cell	GGCT	Down
PTS	2.0227392993359e-24	-1.39110418580813	0.044	0.115	3.64376257382369e-20	Myeloid cell	PTS	Down
